id,contrato,data_operacao,nascimento,idade,genero,bairro,cidade,estado,cep,telefone,cartao,email,ocupacao,empregador,operacao,valor_principal,parcelas,quantidade_parcelas,parcelas_pagas,quantidade_parcelas_pagas,taxa_contrato,valor_parcela,valor_bruto
682e8b505c30bb12052f9457516dc47e7eafc8ed,1760865030954,2019-09-13,1974-06-08,48,F,Conjunto Paulo Vi,Moreira,Rio de Janeiro,XXXXX-685,XXXXXXXXXXXXX2797,Null,XXXXa51@mXXXXXXXXXXXX,Espeleologista,e53d5342e82e0ce6061bc3aaea1a986f24a73613,Prod,27810.69,100,100,20,20,1.46493,531.56,53156.0
45ad9d444a276407df8b6f47c0fcc5b127dadaaa,6023030871505,2022-11-03,1988-07-23,34,F,Minas Caixa,da Mota de Azevedo,Amapá,XXXXX735,Null,XXXXXXXXXX562960,XXXXXXXXXXXnda@tXXXXXXXXXXXX,Mágico,f715ffaf2c8294df43df3357c6a37f04b900fb06,Refin,9589.96,40,40,6,6,4.53587,523.82,20952.8
81cec74ea2ca41535fee03daeb410ddbdf12906a,0560263027614,2021-06-13,1975-08-17,Null,Null,Vila Mantiqueira,Rocha da Prata,Santa Catarina,XXXXX863,XXXXXXXXXXXXX1-3076,XXXXXXXXXX55,Null,Null,da9515ffa45dd12791be0941b91188e51fe1cc04,Prod,42963.2,100,100,10,10,1.44749,815.71,81571.0
4e987d9178e2dcb07c2bf3878736233a676a0a87,1397061435926,2021-08-30,1982-08-17,40,F,Anchieta,da Mata,Null,Null,Null,Null,Null,Conferente de carga e descarga,0c1741dc26339e6af3e4b6badcf984d383d1ca44,Port + Refin,2954.14,120,120,6,6,1.82904,60.96,7315.1997
595943ecdb32a24ccb6ef374b6d865f3b60d7130,3823566005671,2022-11-16,1985-07-14,37,F,Conjunto Floramar,Moreira de Goiás,Mato Grosso,XXXXX384,XXXXXXXXXXXXX7089,Null,Null,Treinador,f97b240dc24290c19e717d7a654747aa31722ad3,Prod,31186.17,100,100,10,10,3.2834,1066.11,106611.0
5e45a621fbb7998f7588091f8b7d480d3b24b2fc,5444678845030,2020-11-02,1984-05-29,38,M,Vila Fumec,Campos,Roraima,Null,XXXXXXXXXXXXX91 1070,XXXXXXXXXX12230,Null,Cirurgião bucal,Null,Port + Refin,41432.39,40,40,8,8,0.70787,1193.0,47720.0
a31aba3a584cedd544a31cfe3af96a0dc06bad17,9023412229198,2019-11-22,1997-02-10,26,M,Null,Null,Pernambuco,XXXXX-022,XXXXXXXXXXXXX9-1921,XXXXXXXXXX13258,Null,Produtor de audio visual,25474923a0bac6ed841e0b776b035c73c444da1f,Prod,16870.66,60,60,9,9,1.1308,388.8,23328.0
b0798e02f03eb1ad4ef5a8cbbc69e2732a7052d0,4167168660296,2021-12-08,1997-10-18,25,F,Vila Da Ária,Araújo,Alagoas,XXXXX007,XXXXXXXXXXXXX4284,Null,XXXXXXXXXXXXXara@aXXXXXXXXXXXX,Velejador,8e9e183c401487c93eb9c9127d15e0908208d252,Refin,2832.39,80,80,12,12,2.67154,86.12,6889.6
1676c0f980840a4fb7d808fc831412e8cc0c1b29,7565583960651,2022-08-18,1984-06-17,38,M,Vila Tirol,Campos,Alagoas,XXXXX935,XXXXXXXXXXXXX42 5215,Null,XXXXXXXXlyn@pXXXXXXXXXXXX,Soldado,ecfeed45ad3c07bc0533b71937ff3fb0be094a12,Prod,22710.72,40,40,10,10,3.64272,1087.15,43486.0
3411c0726cfae279d32d3a6a1d1c8a8fc560ffd5,7872966313608,2019-12-04,1999-11-17,23,M,Nossa Senhora Do Rosário,Fogaça,Ceará,XXXXX304,XXXXXXXXXXXXX48 3612,Null,XXXXXXXXcia@aXXXXXXXXXXXX,Null,8032e14ec79691c862249d17e0050d7da49913b9,Prod,18878.32,40,40,0,0,0.99986,574.94,22997.6
4b675483e6a8b4cedf83c6b7a6dd92b4a614cc6b,8008205897090,2020-06-05,1972-11-08,50,M,Gameleira,Null,São Paulo,Null,Null,XXXXXXXXXX696638,XXXXXian@pXXXXXXXXXXXX,Designer de jóia,e6b30eaf174237aff07da4bc854939a0aa1520d2,Prod,33062.05,60,60,15,15,1.20619,777.45,46647.0
fa2bf908dc14228e74506d4b7ada39da4a6e5344,2352282572606,2022-01-18,1987-11-11,35,F,Das Industrias I,Dias Verde,Null,XXXXX161,XXXXXXXXXXXXX7338,Null,XXXXXl30@pXXXXXXXXXXXX,Profissional de comércio exterior,001e20a46054d36636785081fbdbbe3075c8bf11,Refin,15106.76,40,40,22,22,3.24027,679.18,27167.2
